location,source,target,id,fuzzy,context,translator_comments,developer_comments
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:35,Ich will besser mit Einhandwaffen umgehen können.,Chci se zlepšit v ovládání jednoručního meče.,,,SLD_709_Cord_TRAINOFFER.description,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:48,Ich will besser mit Einhandwaffen umgehen können.,Chci se zlepšit v ovládání jednoručního meče.,,,SLD_709_Cord_TRAINOFFER_Info_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:49,Natürlich. Kostet aber 'ne Kleinigkeit. 30 Erz will ich sehen.,Jistě. Bude tě to ovšem něco stát. Chci 30 nugetů.,,,SLD_709_Cord_TRAINOFFER_Info_14_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:52,"Cord der Söldner,kann mich im Kampf mit EINHÄNDERN schulen. Er ist tagsüber auf dem Felsplateau am See zu finden.",Žoldák Cord mě může naučit bojovat s JEDNORUČNÍMI ZBRANĚMI. Přes den ho můžu najít na skalnaté plošině u jezera.,,,,,B_LogEntry call.
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:78,Ich will besser mit Einhandwaffen umgehen können.,Chci se zlepšit v ovládání jednoručního meče.,,,SLD_709_Cord_TRAIN_Info_15_00,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:84,"Gute Entscheidung! Um deine Technik zu verbessern,musst du erst einmal lernen,deine Waffe richtig zu halten.","To je dobré rozhodnutí! Ještě než se začneš učit techniku,musíš se naučit správně držet zbraň.",,,SLD_709_Cord_TRAIN_14_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:85,"Anfänger neigen dazu,Einhandwaffen mit beiden Händen zu halten. Mit so was fängst du am besten gar nicht erst an,das behindert dich nur.","Začátečníci obyčejně mívají snahu držet jednoruční meč oběma rukama. Tímto způsobem rozhodně nezačínej,to není dobré.",,,SLD_709_Cord_TRAIN_14_02,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:86,"Halt die Waffe mit einer Hand,Klinge nach oben,und dann immer schön schwingen lassen.","Drž zbraň v jedné ruce,čepelí vzhůru a šermuj s ní.",,,SLD_709_Cord_TRAIN_14_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:87,"Du musst lernen,den Schwung deiner Waffe mit deinen Bewegungen in Einklang zu bringen,dann kannst du schneller zuschlagen.",Musíš se naučit sladit pohyb zbraně s pohybem svého těla. Tak budeš při útoku rychlejší.,,,SLD_709_Cord_TRAIN_14_04,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:88,"Wenn du dich an meine Anweisungen hältst,wirst du in Zukunft eleganter und vor allem schneller kämpfen.","Když si zapamatuješ,co jsem tě naučil,tak bude tvůj boj v budoucnu elegantnější a rychlejší.",,,SLD_709_Cord_TRAIN_14_05,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:89,NC_WATERFALL_TOP01,NC_WATERFALL_TOP01,,,,,B_PracticeCombat call.
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:90,"Ach,und noch was: Manche Treffer richten mehr Schaden an als andere! Als Anfänger hast du nur eine geringe Chance,solche kritischen Treffer zu landen.","Ovšem,ještě jednu věc. Některé údery způsobí větší škodu než ostatní. Jako začátečníkovi se ti nebude často dostávat šance rozhodujících úderů.",,,SLD_709_Cord_TRAIN_14_06,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:91,"Aber je weiter du fortschreitest,desto besser wird diese Fähigkeit.",Ale časem budeš dělat pokroky a zlepšíš se.,,,SLD_709_Cord_TRAIN_14_07,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:98,Du besitzt nicht genügend Erz.,Nemáš dost rudy.,,,KDF_402_Corristo_HEAVYARMOR_Info_14_03,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:126,"Zeig mir,wie ich im Umgang mit Waffen noch besser werden kann.",Nauč mě ještě lépe ovládat jednoruční meč.,,,SLD_709_Cord_TRAINAGAIN_Info_15_01,,
_work/Data/Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:132,"Na gut,die Grundkenntnisse hast du ja schon. Wenn du die Waffe gesenkt hältst,dann kannst du direkt mehr Wucht in deinen ersten Schlag legen.","Dobrá,základy znáš. Když podržíš zbraň níž,umožní ti to mnohem silněji vést první švih.",,,SLD_709_Cord_TRAINAGAIN_Info_14_02,,
